擥	攬 㩜
𤣜	㺜
𤾊	㿧
𪚮	䶲
𠀁	七
匃	丐
丠	丘
㞼	丞
竝	並
𠃨	丮
𡴀	丰
𠁽	丸
𠄎	乃
幺	幺 么
𡳿	之
𠆦	乍
𠂞	乎
𣥄	乏
𠄠	二
𠄡	五
丼	井
𠄢	亘
亾	亡
𡗕	亦
𢂋	京
㒰	仝
㐹	仡
㠯	以
仿	仿 倣
𠆺	伭
倂	併
𠈲	佸
𠉕	使
𠈉	侃
𠊖	例
𠋿	侳
㑴	侵
𠊳	便
𠍧	俇
倶	俱
箇	箇 個
𠎥	借
値	值
𠎲	偆
𠌸	偋
僞	僞 偽
僃	備
𠑤	傮
𠑎	僄
𠑗	僊
𠏗	僚
𠎹	僾
𠐥	億
𠐛	儇
灮	光
兌	兌 兑
𠔏	共
𠦛	兵
冄	冉
𠕋	冊
宂	冗
𠣥	冢
𣲝	冰
準	準 准
圅	函
𠚣	刀
刏	刉
𠛬	刑
𠜊	列
𠜂	刪
𠜜	刮
鬀	剃
𠞐	剉
歬	前
𠝾	剛
𣦃	剪
𠞲	剺
𠠧	剽
𠟱	劃
劒	劍
勈	勇
勖	勗
𠢧	勝
𠢶	勦
匈	匈 胸
帀	匝
匩	匡
𠦃	卅
芔	卉
臥	臥 卧
巵	卮
戼	卯
卽	即
𠨟	卷
𠂘	厄
𠪋	厚
𠪪	厜
𠪞	厝
㚎	去
叜	叟
𠙵	口
𠯶	句
𠮟	叱
㕜	史
𠮢	右
𠮱	吁
𠯏	吃
叓	吏
𠰗	呼
咊	和
㖾	咢
齩	咬
𠳆	哉
𠶺	哽
𡃥	啍
嗁	啼
𠷘	啾
𠹡	喤
𠷔	喪
齅	嗅
㗐	嗑
𠻶	嗼
𡄺	嘌
𡅿	嘾
嚔	嚏
𡃫	嚴
𣡦	囊
囪	囪 囱
𡉛	圪
杇	圬
阬	阬 坑
𡍩	坼
𡍯	垔
𡋳	垠
𡎩	埂
𡎹	埐
𡑊	埵
𡙕	執
𡌮	培
𡓑	埻
𡙈	報
𦩱	塍
塡	填
𡔊	塾
𡒣	墐
𡑿	墣
壿	墫
𫫽	壑
𡑏	壔
壠	壟
𡕍	壹
𡔲	壺
𡖍	夜
㚌	夥
叏	夬
𢩥	失
𡘹	奄
柰	奈
𡴝	奏
𢍅	奐
𡙜	奪
𠮖	奱
𡚶	妄
妝	妝 粧
𡜜	姍
𡜶	姡
𡞨	娀
𡡸	媊
𡡾	媚
𡣃	媦
媼	媼 媪
嬀	嬀 媯
𡤚	嫖
𡡿	嫡
媆	嫩
𡣌	嫸
嫺	嫺 嫻
𡢴	嫽
𡣱	嬛
𡤼	孑
𡥅	存
𡥇	孛
孼	孽
𡧺	官
𡧡	定
𡨈	宣
㝛	宿
𡩟	寅
𡪢	寑
濅	寖
𡭎	導
𡭔	小
𡰣	尸
㞑	尾
𡲘	尿
𡲬	屈
屛	屏
㞡	展
𡳐	履
𡶬	岡
巖	巖 岩
陗	峭
峯	峯 峰
𡽈	崛
𡾘	崞
𡾑	嵯
𡽤	嶙
巛	川
𡿬	巟
𡿽	巡
𢅙	幘
𢅿	幠
𢄛	幬
秊	年
𢆙	幷
𠄔	幻
牀	牀 床
𢉙	庶
𢋓	廑
𢌋	廡
